image,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,"BLIP-2, greedy, caption","BLIP-2, beam, caption","BLIP-2, nucleus, caption","BLIP-2, greedy, bool","BLIP-2, beam, bool","BLIP-2, nucleus, bool","BLIP-2, greedy, name","BLIP-2, nucleus, name","BLIP-2, greedy, real","BLIP-2, beam, real","BLIP-2, nucleus, real","BLIP-2, greedy, color and textures","BLIP-2, nucleus, color and textures","BLIP-2, beam, color and textures",color greedy,color nucleus,color beam,texture greedy,texture nucleus,texture beam,length greedy,length nucleus,length beam,BERTScore beam real,BERTScore greedy real,BERTScore nucleus real,BERTScore nameability caption,BERTScore nameability real
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3CFA60>,2044,diving toy with small weight,6,27,94,6,a toy with a blue ball and orange toothbrush,an orange and blue toothbrush with a ball on it,a toy tube shaped like a toothbrush on a white background,"Yes, it is a toothbrush","No, I don't recognize this object",This is an orange ball with a blue ring on it,an orange and blue toothbrush,"a spoon, a fork, a straw, and a glass",A toothbrush,This is an orange and blue toothbrush with a ball on the end,I think this is a hot dog bun that I found in a plastic bag,   Orange    Blue       ,        ,   Orange    Blue       ,True,False,True,False,False,False,9,11,10,0.85904163,0.83417946,0.8445005,0.8983739,0.84638256
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3CFCD0>,2045,wooden ball toy,25,29,3,55,a wooden spoon with five holes on it,a wooden toothbrush holder with five holes in it,a wooden spoon with five holes and a handle,"Yes, I recognize this object.","No, I do not recognize this object",A wooden spoon that has holes drilled in it,the object in this image is a wooden toothbrush holder,a wine opener,A wooden spoon holder,It's a wooden toothbrush holder.,"A little bit of this, a little bit of that",       Wooden   ,       Wooden   ,       Wooden   ,False,False,False,True,True,True,8,9,9,0.86180913,0.8865068,0.8112867,0.9464113,0.8634855
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3CFFD0>,2046,keychain with bubbles inside,34,67,42,3,a small clear plastic keychain with a small blue and green design,"a clear plastic keychain with a blue, green and white design",the keychain has the small shape of a blue and white box,"Yes, it is a keychain with a small square of clear plastic","Yes, I recognize this object.",This is the shape of an acrylic glass key chain,a keychain,a transparent keyring,A keychain with a clear plastic rectangle,"This is a keychain with a clear plastic rectangle with a blue, green and white design on it",The crystal water bottle,   Green    Blue      Plastic   ,   Blue    White       ,   Green    Blue    White      Plastic   ,True,True,True,True,False,True,12,12,11,0.8574916,0.8799196,0.8443147,0.93696576,0.88041574
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3CF100>,2047,perfume sprayer,41,32,50,3,a black and silver metal bottle with a white background,a black and silver cigarette lighter on a white background,a bottle with a black striped lid,"Yes, I recognize this object.",Unknown,Yes,the object in this image is a black and white cigarette lighter,A can of spray paint,A black and silver metal cylinder with a white stripe,It's an electronic cigarette.,"That I'm a big fat slob with no sense of style?He's good, and",   Black    Silver       ,   Black       ,   Black    Silver       ,True,True,True,False,False,False,10,7,10,0.85650605,0.8197314,0.80255276,0.91666526,0.8409107
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3C6580>,2048,worm ball with hands and stars cut off,13,47,55,6,a pile of colorful plastic balls on a white background,a pile of colorful plastic balls on a white background,an assortment of brightly colored balls and toys are arranged,"Yes, it is a ball","No, I don't recognize this object",No,a pile of colorful plastic balls on a white background,an inflatable ball,A pile of colorful plastic balls,This is a pile of colorful plastic balls,"An oversized, squishy bouncy ball made of latex",       Plastic   ,   Red       ,       Plastic   ,False,True,False,True,False,True,10,10,10,0.8661528,0.8621058,0.85518396,0.93161994,0.9134852
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3C67F0>,2049,slide whistle,19,44,39,10,a blue pen with a metal hook on the end,a blue pen on a white background,a metal tube with blue and white plastic tube attached to it,"Yes, I recognize this object",Unknown,Answer in 1 minute,the object in this image is a pen with a blue handle,"blue penLol. ""It is just for this weekend""",A pen.,"I think it's a pencil sharpener, but I don't know what kind of pencil it is",An electronic device.  It is a telephone.  It has a telephone number.  It has,   Blue       ,   Blue    White      Plastic   ,   Blue       ,True,True,True,False,True,False,10,12,7,0.79578924,0.8619271,0.810217,0.89028484,0.8546372
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3C6A60>,2050,mobile phone stand for a car,31,68,45,0,a black plastic car mount with a handle,a black plastic car mount on a white background,dash mountable black dashmount,"Yes, I recognize this object.",Unknown,Yes it is the car dashboard mount adapter,the object in this image is a car phone holder,a gopro camera mount,A car phone holder,This is a car phone holder.,"A black plastic, plastic base holder for your car GPS",   Black      Plastic   ,   Black       ,   Black      Plastic   ,True,True,True,True,False,True,8,4,9,0.9214979,0.91930705,0.8831816,0.9066083,0.9049695
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3C6CD0>,2051,finger castanet,53,60,47,9,a green toilet seat with a pink bow on it,a green toilet seat with a pink bow on it,green plastic toilet seat,"Yes, it is a green toilet seat","No, I don't recognize this object.",Yes I do,a toilet seat,the small green bathroom seat,A toilet seat,This is a green toilet seat with a pink bow on it,A portable toilet,   Green    Pink       ,   Green      Plastic   ,   Green    Pink       ,True,True,True,False,True,False,10,4,10,0.7947839,0.8159238,0.826294,0.9443591,0.90214825
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3C6FD0>,2052,noisemaker,41,53,63,7,a green plastic flower shaped tool with a pink handle,a green plastic spoon with a pink handle,a green and pink plastic spatula in a cup,"Yes, I recognize this object.",Unknown,"Yes, I recognise this object",a green plastic spoon with a pink handle,A plucking tool for a red and green plastic gardening tool,A flower picker,It's a flower picker.,a water pistol.,   Green    Pink      Plastic   ,   Green    Pink      Plastic   ,   Green    Pink      Plastic   ,True,True,True,True,True,True,10,9,8,0.82345563,0.8254417,0.81983286,0.93631655,0.8979051
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3C6310>,2053,hand castanet,44,79,45,6,a red and black metal pole with two black handles,a pair of black and red clippers on a white background,a pair of black hair straighteners that are red,"Yes, I recognize this object.",Unknown,red and black coat hanger for a black jacket,the object in this image is a pair of scissors,a clove,A red and black metal pole with two black clippers,I think it's a pair of scissors.,A big red plastic coat hanger,   Red    Black       ,   Red    Black       ,   Red    Black       ,True,True,True,False,False,False,10,9,11,0.81300986,0.7785603,0.7865307,0.8832825,0.8612668
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3D6580>,2054,floating ball game,3,25,38,48,a wooden stick with a red handle on a white background,a wooden stick with a red handle on a white background,bamboo wooden baseball bat,"Yes, it is a wooden stick","No, I do not recognize this object.",This is a barbell or weight,a wooden stick with a red handle on a white background,,A wooden stick with a red handle,This is a wooden stick with a red handle,This is a stick on the wall for your kids to climb,   Red      Wooden   ,       Wooden   ,   Red      Wooden   ,True,False,True,True,True,True,11,4,11,0.81740683,0.8150648,0.8138738,0.92732763,0.9086783
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3D67F0>,2055,aroma therapy oil burner,13,33,53,13,a green vase with holes in it,a green vase with holes in it,a large yellow vase with holes in it,Yes,"No, I do not recognize this object",Yes,a vase,,A vase,This is a vase with holes in it.,An interesting little table that I'm not quite sure what it is or what purpose it serves.,   Green       ,   Yellow       ,   Green       ,True,True,True,False,False,False,7,8,7,0.84557414,0.867507,0.82064617,0.9839697,0.8742089
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3D6AF0>,2056,dog toy,19,59,61,13,a toy airplane shaped like a rainbow is on a white background,a toy airplane shaped like a rainbow is on a white background,snowman's head - rainbow dog toy,"Yes, it is a toy airplane","Yes, I recognize this object.","yes, this is a rainbow airplane",a toy airplane,The object in this image is the rainbow wing,A toy airplane,It's a toy airplane.,The next flying car.,        ,        ,        ,False,False,False,False,False,False,12,6,12,0.9025509,0.9343516,0.8814684,0.89606076,0.9118373
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3D6D60>,2057,spout for watering can,34,32,35,3,a red fan with a black handle on a white background,a red fan with a black handle on a white background,a red fan with black handle on white background,"Yes, I recognize this object.","Yes, I recognize this object.",Yes No No No Yes No No No No,the object in this image is a red fan,it's a red hand fan,A red plastic fan with a black handle,This is a red plastic fan with a black handle on a white background,It's an air fryer - for frying foods without oil,   Red    Black       ,   Red    Black       ,   Red    Black       ,True,True,True,False,False,False,11,9,11,0.82068187,0.8374985,0.83669084,0.98979217,0.8809347
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3D6280>,2058,hole for children golf game,22,33,58,3,a pink plastic toilet seat cover,a pink plastic toilet seat cover on a white background,a pink plastic toilet seat with no cover,"Yes, it is a pink plastic toilet seat","Yes, I recognize this object.",The image for this question was sent by a person who recognized that the item was a dog collar.,the object in this image is a pink plastic toilet seat,a toilet,A pink plastic toilet seat cover,This is a pink plastic toilet seat cover with a hole in the middle,It's the new Bikini Buttie!™,   Pink      Plastic   ,   Pink      Plastic   ,   Pink      Plastic   ,True,True,True,True,True,True,6,8,10,0.8456667,0.85568386,0.83282065,0.9500696,0.87049675
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3DE3A0>,2059,maraca pen,75,92,28,0,a purple spoon with a handle on a white background,a purple spoon with a black handle on a white background,an electric purple ball with the top open,"Yes, it is a spoon","Yes, I recognize this object.","This is a purple spiky ball with a single end, and a black end.",a purple spoon with a black handle on a white background,a purple sex toy with an insert,A purple spoon with a black handle,This is a purple egg shaped vibrator with a black handle,"A sex toy for couples that doubles as a spoon, and then is used to mix a sauce",   Purple       ,   Purple       ,   Purple    Black       ,True,True,True,False,False,False,10,8,11,0.80416095,0.8216037,0.80137384,0.92691296,0.8868456
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3DE610>,2060,dog toy with removed rope,38,32,55,29,a red plastic toy with four balls inside,a close up of a red plastic toy that is shaped like a flower,a large red heart shaped toy is placed on a white surface,"Yes, it is a red jelly bean","Yes, I recognize this object.",Red ball shaped object with six balls on top,a red ball with a bunch of small balls inside of it,a red flower,A red jelly bean,It’s a red jelly bean.,A hot red bottle of water.,   Red      Plastic   ,   Red    White      Lace   ,   Red      Plastic   ,True,True,True,True,True,True,8,12,14,0.8593987,0.861589,0.85774136,0.89971066,0.9126366
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3DE880>,2061,dog toy,53,53,59,13,a green donut with colorful dots on it,a green dog toy with colorful dots on it,a toy of a donut made with green colored rubber,Yes,"Yes, I recognize this object.","the ring has 6 balls, 3 blue balls and 3 red balls",a donut,a rubber donut,A donut,It's a donut shaped like a virus.,A green donut,   Green       ,   Red    Green      Rubber   ,   Green       ,True,True,True,False,True,False,8,10,9,0.86754346,0.89128596,0.8764754,0.91892785,0.9224364
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3DEAF0>,2062,dog toy,44,56,29,42,an orange plastic ring with spikes on it,an orange rubber ring on a white background,an orange plastic toy is shown on a white background,"Yes, it is a rubber ball with spikes",Unknown,This is an animal toy with rubber toys,an orange rubber ring with spikes on it,The 'Orange Spiky Dog Collar'    by QwikClip.com,A rubber dog toy,This is an orange rubber ring with spikes on it,A rubber tire shaped item.,   Orange      Plastic   ,   Orange      Plastic   ,   Orange      Rubber   ,True,True,True,True,True,True,8,10,8,0.85921216,0.9386184,0.8878484,0.91882724,0.8919861
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3DED60>,2063,magic loops,25,38,13,19,a metal sculpture with colorful beads on it,a metal sculpture of a globe with multi colored beads on it,kiddos magnet system,"Yes, it is a planet","No, I do not recognize this object.",this is the universe,a solar system.,a planet,A planet.,I think it's a planet.,The sun.,        ,        ,   Red       ,False,False,True,False,False,False,8,3,12,0.8345183,0.8636485,0.86985624,0.8758804,0.9145758
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3DEFD0>,2064,massager,28,33,45,3,a green and silver object with legs,a green foot massager on a white surface,this is a green and white foot massager,"Yes, it is a foot massager","Yes, I recognize this object.",Yes,a foot massager,a table,A foot massager,It's a foot massager.,A device used for massaging one's legs in bed.,   Green    Silver       ,   Green    White       ,   Green    White       ,True,True,True,False,False,False,7,8,8,0.84282553,0.8412743,0.8081741,0.8945697,0.9129188
