number label,actual name,familiarity score,nameability score,color saliency,texture saliency,"BLIP-2, greedy, caption","BLIP-2, greedy, bool","BLIP-2, greedy, name","BLIP-2, greedy, real","BLIP-2, nucleus, top_p=0.1, caption","BLIP-2, nucleus, top_p=0.1, bool","BLIP-2, nucleus, top_p=0.1, name","BLIP-2, nucleus, top_p=0.1, real","BLIP-2, nucleus, top_p=0.5, caption","BLIP-2, nucleus, top_p=0.5, bool","BLIP-2, nucleus, top_p=0.5, name","BLIP-2, nucleus, top_p=0.5, real","BLIP-2, nucleus, top_p=0.9, caption","BLIP-2, nucleus, top_p=0.9, bool","BLIP-2, nucleus, top_p=0.9, name","BLIP-2, nucleus, top_p=0.9, real","BLIP-2, beam, num_beams=1, caption","BLIP-2, beam, num_beams=1, bool","BLIP-2, beam, num_beams=1, name","BLIP-2, beam, num_beams=1, real","BLIP-2, beam, num_beams=5, caption","BLIP-2, beam, num_beams=5, bool","BLIP-2, beam, num_beams=5, name","BLIP-2, beam, num_beams=5, real","BLIP-2, beam, num_beams=10, caption","BLIP-2, beam, num_beams=10, bool","BLIP-2, beam, num_beams=10, name","BLIP-2, beam, num_beams=10, real"
2034,worm ball with cut off hands or stars,72,39,45,26,a pile of colorful rubber bands on a white background,"Yes, it is a rubber ball",a pile of colorful rubber bands,A pile of colorful rubber bands,a pile of colorful rubber bands on a white background,"Yes, it is a rubber ball",a pile of colorful rubber bands,A pile of colorful rubber bands,a bunch of colorful rubber bands,"Yes, I recognize this object",a kite,This is a rubber ball with a bunch of colorful rubber bands on it,a pile of colorful hair rubber ducky,The green and yellow plastic tubes are plastic o-rings,a rubber hair-brush.,This is a pile of rainbow colored rubber balls that are in a stack,a pile of colorful rubber bands on a white background,"Yes, it is a rubber ball",a pile of colorful rubber bands,A pile of colorful rubber bands,a pile of colorful rubber bands on a white background,"Yes, I recognize this object.",a pile of colorful rubber bands on a white background,I think it's a pile of rubber bands.,a pile of colorful rubber bands on a white background,Unknown,"a pile of yellow, pink, and green rubber bands",I think it's a pile of rubber bands.
2035,giant pen with pen tip removed and cooper scourer pad on top,13,54,47,13,a blue and brown hair brush with a brown handle,"Yes, it is a ball of yarn",a ball,A blue and brown ball with a red handle,a blue and brown hair brush with a brown handle,"Yes, it is a ball of yarn",a ball,A ball of yarn,a blue and brown hairbrush with a blue handle,Yes,a ball of brown wool,It's a giant rubber ball.,a blue and brown sponge holder on a white surface,yes,a spongy blue balloon,I think the thing is a ballpoint pen that's been,a blue and brown hair brush with a brown handle,"Yes, it is a ball of yarn",a ball,A blue and brown ball with a red handle,a blue and brown ball on a white background,"No, I do not recognize this object",the object in this image is a blue and brown ball,"It’s a hair dryer, but it’s not a hair dryer.",a blue and brown hair brush on a white background,"No, I do not recognize this object",the object in this image is a blue and brown ball,It’s a hair dryer.
2036,cup and ball toy,59,70,20,20,"a wooden toy with a red, yellow and green ball","Yes, it is a wooden toy hammer",a wooden toy hammer,A wooden toy hammer,"a wooden toy with a red, yellow and green ball","Yes, it is a wooden toy hammer",a wooden toy hammer,A wooden toy hammer,"a wooden toy hammer with a red, yellow and green striped handle",Yes,a toy hammer,"A wooden toy drum with a red, yellow, green, and blue ball",penny whipper wooden toy,"Yes, we are holding this toy.", ,"An old, wooden, colorful toy percussion bell","a wooden toy with a red, yellow and green ball","Yes, it is a wooden toy hammer",a wooden toy hammer,A wooden toy hammer,"a wooden toy hammer with a red, yellow, green and blue ball","Yes, I recognize this object.","a wooden toy hammer with a red, yellow, green, and blue ball","This is a wooden toy hammer with a red, yellow, green, and blue ball attached to it","a wooden toy hammer with a red, yellow, green and blue ball",Unknown,"a wooden toy hammer with a red, yellow, green, and blue ball","This is a wooden toy hammer with a red, yellow, green, and blue ball attached to it"
2037,teething ring,34,24,37,3,a pink plastic bracelet with four balls on it,"Yes, I recognize this object.",a pink plastic ring,A pink plastic ring with four balls on it,a pink plastic bracelet with four balls on it,"Yes, I recognize this object.",a pink plastic ring,A silicone ring with a pink ball on top,the bracelet is made of pink plastic beads,"Yes, it is a bracelet with three pink balls",a bracelet,A plastic ring with six balls on it,pink plastic bracelets that are in the shape of a bracelet,"I am wearing my pink bracelets, and I am wearing my pink t - shirt with a pink",the bracelet with the ball and ball bead on each end.,it's a rubber ball,a pink plastic bracelet with four balls on it,"Yes, I recognize this object.",a pink plastic ring,A pink plastic ring with four balls on it,a pink plastic bracelet with four balls on it,Unknown,it's a pink plastic ring with four balls on it,It’s a pink rubber ring with a bunch of balls on it,a pair of pink plastic balls on a white background,Unknown,the object in this image is a pink plastic ring,It’s a rubber ring with a bunch of plastic balls in it.
2038,heart shaped slinky,56,63,26,6,a colorful set of plastic rings with a heart shape,"Yes, I recognize this object.",a heart,A giant rubber band,a colorful set of plastic rings with a heart shape,"Yes, I recognize this object.",a heart,A rainbow of plastic rings,a colorful ring made out of rubber bands,"Yes, I recognize this object",the object in this image is a multi colored plastic ring,It's a giant 3D printed heart.,this is a picture of three rubber bands,"Yes or no, we have three shapes of these objects.","the cloudI don't have a source, but I remember seeing somewhere that this is a fairly",It's a rubber ring designed to look like a heart,a colorful set of plastic rings with a heart shape,"Yes, I recognize this object.",a heart,A giant rubber band,"an orange, yellow, green, and pink heart shaped toy","Yes, I recognize this object",an object in this image is called an object in this image is called an object in this image is,I think it's a bunch of rubber bands that have been twisted together to form a heart shape.,a bunch of colorful rubber bands on a white background,Unknown,"the object in this image is an orange, yellow, green, blue, pink, purple, and",I think it's a bunch of rubber bands that have been put together to look like a heart.
2039,led top,28,64,61,13,a green plastic toy with a cross on it,"Yes, it is a green plastic cross",a fidget spinner,A green plastic cross shaped toy,a green plastic toy with a cross on it,"Yes, it is a green plastic cross",a fidget spinner,A green plastic cross shaped toy,a green plastic cross shaped toy with a light inside,Yes,A fidget spinner,A green plastic toy that has a cross shape on it,a green plastic toy cross shaped object,no,a toy cross with green pieces,It's a fucking light saber.Just got out of the shower and my legs are completely,a green plastic toy with a cross on it,"Yes, it is a green plastic cross",a fidget spinner,A green plastic cross shaped toy,a green plastic cross shaped toy on a white background,Unknown,a fidget spinner.,It's a fidget spinner.,a green plastic cross shaped toy on a white background,Unknown,a fidget spinner,It's a fidget spinner.
2040,rubber toy,31,64,63,16,a blue and yellow toy with a ball,"Yes, it is a ball with a blue and yellow tangle",a ball,A ball of blue and yellow rubber,a blue and yellow toy with a ball,"Yes, it is a ball with a blue and yellow tangle",a ball,A ball of blue and yellow rubber,a blue and yellow toy ball with a ball inside,Yes,a toy ball with a blue and yellow tangle of hair,A blue ball with yellow spikes,hayflip blue - ball toy,Yes,a ball of slime,~~~ ~~~,a blue and yellow toy with a ball,"Yes, it is a ball with a blue and yellow tangle",a ball,A ball of blue and yellow rubber,a toy ball with blue and yellow hair,"No, I do not recognize this object",a ball with a blue and yellow pom pom,This is a blue and yellow ball with a blue and yellow pom pom on top of it,a toy ball with blue and yellow hair on it,"No, I do not recognize this object",a ball with a blue and yellow pom pom,This is a blue and yellow ball with a blue and yellow pom pom on top of it
2041,massager,34,38,23,20,a wooden toy with four balls on it,"Yes, it is a wooden cross",a cross,A wooden cross,a wooden toy with four balls on it,"Yes, it is a wooden cross",a cross,A wooden cross,a wooden toy with four balls on top of it,"Yes, this is a cross.",a ball and a cross,A set of three balls,"wooden wooden ball pendant pendulum for toy, for kids, kid, kid, toy,","No, wood-covered balls",a wooden cross,"A toy, because you think it should be one, because it was made that way",a wooden toy with four balls on it,"Yes, it is a wooden cross",a cross,A wooden cross,a wooden toy with four balls on a white background,"Yes, I recognize this object.",a cross-shaped wooden toy with four wooden balls on each side,This is a cross made out of wood and blue balls,a set of four wooden balls on a white background,Unknown,a cross-shaped wooden toy with four wooden balls on the top and four wooden balls on the bottom,This is a cross made out of wood and blue balls
2042,small personal fan without blades,38,67,81,3,a blue and yellow plastic spray bottle,"Yes, it is a blue and yellow plastic bottle",a blue and yellow plastic bottle,A blue and yellow plastic spray bottle,a blue and yellow plastic spray bottle,"Yes, it is a blue and yellow plastic bottle",a blue and yellow plastic bottle,A blue and yellow plastic spray bottle,a blue and yellow plastic hand sprayer,"Yes, it's a plastic yellow and blue water bottle",A blue plastic water bottle with a yellow top,It's a spray bottle.,blue and yellow spray can with no cap on white background,Yes.  A small blue object.,an orange object,"That's a sprayer for applying water-soluble adhesive, not for cleaning the dishes.",a blue and yellow plastic spray bottle,"Yes, it is a blue and yellow plastic bottle",a blue and yellow plastic bottle,A blue and yellow plastic spray bottle,a blue and yellow spray bottle on a white background,"Yes, I recognize this object.",a water bottle with a blue cap and yellow handle,This is a blue and yellow spray bottle with an orange cap,a blue and yellow spray bottle on a white background,"Yes, I recognize this object.",the object in this image is a blue and yellow spray bottle,This is a spray bottle with a blue and yellow cap
2043,clacker,66,76,65,6,a toy with two balls and a string,"Yes, I recognize this object",a ball,A toy that is made of plastic and has two balls attached to it,a toy with two balls and a string,"Yes, I recognize this object",a ball,A toy that is made of plastic and has two balls attached to it,a toy that has a yellow and green ball and a pink one,Yes,a ball and string,A string toy with balls,ball windmill toys,Yes I recognized this object,toy yoyo,This is a ball and string,a toy with two balls and a string,"Yes, I recognize this object",a ball,A toy that is made of plastic and has two balls attached to it,a plastic toy with two balls attached to it,Unknown,a rubber ball with a string attached to it,This is a rubber ball with a string attached to it,a plastic toy with two balls attached to it,Unknown,the object in this image is a toy that has two balls attached to it,It's a rubber ball with a string attached to it.
2044,diving toy with small weight,6,27,94,6,a toy with a blue ball and orange toothbrush,"Yes, it is a toothbrush",a toothbrush,A toothbrush,a toy with a blue ball and orange toothbrush,"Yes, it is a toothbrush",a toothbrush,A toothbrush,a toy with a blue and orange ball on top,A toy ball with a plastic ball on top,an orange ball,A toothbrush with a plastic ball,a toy dog toy is shaped like an octopus,"Yes, I know this orange ball of wire",A pipe wrench,A giant orange pill that you're about to take,a toy with a blue ball and orange toothbrush,"Yes, it is a toothbrush",a toothbrush,A toothbrush,an orange and blue toothbrush with a ball on it,"No, I don't recognize this object",an orange and blue toothbrush,This is an orange and blue toothbrush with a ball on the end,a close up of an orange and blue toothbrush,"No, I don't recognize this object",the object in this image is an orange and blue toothbrush,This is an orange and blue toothbrush with a ball on the end
2045,wooden ball toy,25,29,3,55,a wooden spoon with five holes on it,"Yes, I recognize this object.",a spoon,A wooden spoon holder,a wooden spoon with five holes on it,"Yes, I recognize this object.",a spoon,A wooden spoon holder,a wooden spoon with six holes on it,This is a wooden spoon with six holes in it,a toothbrush holder,This is a wooden toothbrush holder,the large wooden spoon has 5 holes on the end,Yes. Yes. No.,my hand,The world's first wooden dildo.,a wooden spoon with five holes on it,"Yes, I recognize this object.",a spoon,A wooden spoon holder,a wooden toothbrush holder with five holes in it,"No, I do not recognize this object",the object in this image is a wooden toothbrush holder,It's a wooden toothbrush holder.,a wooden toothbrush holder with five holes in it,"Yes, I recognize this object.",the object in this image is a wooden toothbrush holder,This is a wooden toothbrush holder with six holes in it
2046,keychain with bubbles inside,34,67,42,3,a small clear plastic keychain with a small blue and green design,"Yes, it is a keychain with a small square of clear plastic",a keychain,A keychain with a clear plastic rectangle,a small clear plastic keychain with a small blue and green design,"Yes, it is a keychain with a small square of clear plastic",a keychain,A keychain with a clear plastic rectangle,a clear plastic keychain with blue and green designs,Yes,a keychain,"A square glass tube with a blue, green and white pattern",mini lab test test tube 5ml green blue 4cm x 3cm,"[keyring with transparent, water -stained clear and white beads] [blue, green] [",a light blue square plastic bottle with a black and green pattern,I'm a glass keychain,a small clear plastic keychain with a small blue and green design,"Yes, it is a keychain with a small square of clear plastic",a keychain,A keychain with a clear plastic rectangle,"a clear plastic keychain with a blue, green and white design","Yes, I recognize this object.",a keychain,"This is a keychain with a clear plastic rectangle with a blue, green and white design on it","a clear plastic keychain with a blue, green and white design","Yes, I recognize this object.",a keychain,This is a keychain with a small square of clear plastic with blue and green swirls on it
2047,perfume sprayer,41,32,50,3,a black and silver metal bottle with a white background,"Yes, I recognize this object.",a black and white striped metal cylinder,A black and silver metal cylinder with a white stripe,a black and silver bottle with a metal cap,"Yes, I recognize this object.",a black and white striped metal cylinder,A black and silver metal cylinder with a white stripe,a black and silver aerosol bottle with a silver top,"Yes, I recognize this object.",a bottle,This is a black and silver metal canister,an open air cooler with a black striping on the side,the metal body is black,A metal and glass tube,This is an electronic cigarette.,a black and silver metal bottle with a white background,"Yes, I recognize this object.",a black and white striped metal cylinder,A black and silver metal cylinder with a white stripe,a black and silver cigarette lighter on a white background,Unknown,the object in this image is a black and white cigarette lighter,It's an electronic cigarette.,a black and silver cigarette lighter on a white background,Unknown,the object in this image is a black and white cigarette lighter,It's an electronic cigarette.
2048,worm ball with hands and stars cut off,13,47,55,6,a pile of colorful plastic balls on a white background,"Yes, it is a ball",a ball,A pile of colorful plastic balls,a pile of colorful plastic balls on a white background,Yes,a ball,A pile of colorful plastic balls,colorful plastic balls in a pile on a white background,"A blue ball, a pink ball, a yellow ball, a blue ball, a pink ball,",a toy ball,A bunch of colorful plastic balls,colorful plastic toys piled on top of one another,No.,a toy octopus ball,That it is a pile of plastic balls,a pile of colorful plastic balls on a white background,"Yes, it is a ball",a ball,A pile of colorful plastic balls,a pile of colorful plastic balls on a white background,"No, I don't recognize this object",a pile of colorful plastic balls on a white background,This is a pile of colorful plastic balls,a pile of colorful plastic balls on a white background,Unknown,the object in this image is a pile of colorful plastic balls,This is a bunch of colorful plastic balls that are sitting on top of each other
2049,slide whistle,19,44,39,10,a blue pen with a metal hook on the end,"Yes, I recognize this object",a pen,A pen.,a blue pen with a metal hook on the end,"Yes, I recognize this object",a pen,A pen.,a blue pen with a white handle on a white background,Blue pen with white tip,A pen,"This is a pen that looks like a pen, but it is actually a fountain pen",a small blue plastic tube with a white loop on the end,Blue pen,a screwdriver,"This is the newest addition to our family of products, which includes: the Q - the Q -",a blue pen with a metal hook on the end,"Yes, I recognize this object",a pen,A pen.,a blue pen on a white background,Unknown,the object in this image is a pen with a blue handle,"I think it's a pencil sharpener, but I don't know what kind of pencil it is",a blue pen on a white background,Unknown,the object in this image is a blue pen,"I think it's a pencil sharpener, but I don't know what kind of pencil it is"
2050,mobile phone stand for car,31,68,45,0,a black plastic car mount with a handle,"Yes, I recognize this object.",a black plastic cup holder,A car phone holder,a black plastic car mount with a handle,"Yes, I recognize this object.",a black plastic cup holder,A car phone holder,a black plastic cup holder with a handle on it,"Yes, I recognize this object",a black plastic cup holder,A car phone holder.,an image of the black car mount holder,The round ball is the part of the car radio antenna and the hole is the hole of the metal,a camera tripod,My hand in yours.I wonder what the most common things are that are stolen from stores?,a black plastic car mount with a handle,"Yes, I recognize this object.",a black plastic cup holder,A car phone holder,a black plastic car mount on a white background,Unknown,the object in this image is a car phone holder,This is a car phone holder.,a black car phone holder on a white background,Only answer with Unknown,the object in this image is a car phone holder,This is a black plastic cup holder for your car's cup holder
2051,finger castanet,53,60,47,9,a green toilet seat with a pink bow on it,"Yes, it is a green toilet seat",a toilet seat,A toilet seat,a green toilet seat with a pink bow on it,"Yes, it is a green toilet seat",a toilet seat,A toilet seat,a green toilet seat with a wooden lid,"No, I do not recognize this object.",a green plastic toilet seat,This is a green toilet seat with a wooden lid,a green plastic toilet seat with handles,"green wooden chair with yellow handle, see picture",a toilet seat,A potty seat made of metal and plastic.,a green toilet seat with a pink bow on it,"Yes, it is a green toilet seat",a toilet seat,A toilet seat,a green toilet seat with a pink bow on it,"No, I don't recognize this object.",a toilet seat,This is a green toilet seat with a pink bow on it,a green toilet seat with a pink bow on it,"Unknown  Q: Only answer with yes or no,",a toilet seat,This is a green toilet seat with a pink bow on it
2052,noisemaker,41,53,63,7,a green plastic flower shaped tool with a pink handle,"Yes, I recognize this object.",a flower pot,A flower picker,a green plastic flower shaped tool with a pink handle,"Yes, I recognize this object.",a flower pot,A flower picker,a green plastic spoon with a pink handle,"Yes, it is a flower holder.",A flower picker,"A small, plastic, plastic flower with a handle and a green plastic stem",a plastic flower with a green and pink handle,Yes!, ,a flowery plastic sex toy,a green plastic flower shaped tool with a pink handle,"Yes, I recognize this object.",a flower pot,A flower picker,a green plastic spoon with a pink handle,Unknown,a green plastic spoon with a pink handle,It's a flower picker.,a green plastic spoon with a pink handle,Unknown,"you call it a flower pot, or a flower holder, or a flower pot holder, or a",It’s a flower picker.
2053,hand castanet,44,79,45,6,a red and black metal pole with two black handles,"Yes, I recognize this object.",a red and black metal pole,A red and black metal pole with two black clippers,a red and black metal pole with two black handles,"Yes, I recognize this object.",a red and black metal pole,A red and black metal pole with two black clippers,a red and black metal pole with a pair of scissors on it,"Yes, it is a red plastic tool",a hook,This is a hook for your belt,a black and red brush stand on a white background,Red and black nail clippers.,-   -   -   -   -   -,An old-timey screwdriver.,a red and black metal pole with two black handles,"Yes, I recognize this object.",a red and black metal pole,A red and black metal pole with two black clippers,a pair of black and red clippers on a white background,Unknown,the object in this image is a pair of scissors,I think it's a pair of scissors.,a pair of black and red clippers on a white background,Unknown,the object in this image is a pair of scissors,I think it's a pair of scissors.
2054,floating ball game,3,25,38,48,a wooden stick with a red handle on a white background,"Yes, it is a wooden stick",a wooden stick,A wooden stick with a red handle,a wooden stick with a red handle on a white background,"Yes, it is a wooden stick",a wooden stick,A wooden stick with a red handle,wooden stick on red stand,This is a wood stick with a red handle,a wood handle,A wooden toy that is on a red stand,a wooden pipe with red rubber handle sitting on top of a stand,Red metal barrel with two wooden handles,a tool holder,A big wooden toy that you'll see in every single one of our children's room sets,a wooden stick with a red handle on a white background,"Yes, it is a wooden stick",a wooden stick,A wooden stick with a red handle,a wooden stick with a red handle on a white background,"No, I do not recognize this object.",a wooden stick with a red handle on a white background,This is a wooden stick with a red handle,a wooden stick with a red handle on a white background,Unknown,the object in this image is a wooden stick with a red handle,This is a wooden stick with a red handle
2055,aroma therapy oil burner,13,33,53,13,a green vase with holes in it,Yes,a vase,A vase,a green vase with holes in it,Yes,a vase,A vase,green ceramic stool with holes on the sides,"Yes, it is a green ceramic vase with holes in it",a vase,A vase,a close up of a large ceramic garden sculpture,"Yes, it is made from green resin",the yellow ceramic cup,"Green.  A: Oh, no way. That's not green. That's lime.",a green vase with holes in it,Yes,a vase,A vase,a green vase with holes in it,"No, I do not recognize this object",a vase,This is a vase with holes in it.,a green vase with holes in it,Only answer with Unknown,a vase,This is a green vase with holes in it.
2056,dog toy,19,59,61,13,a toy airplane shaped like a rainbow is on a white background,"Yes, it is a toy airplane",a rainbow airplane,A toy airplane,a toy airplane shaped like a rainbow is sitting on a white surface,"Yes, it is a toy airplane",a rainbow airplane,A toy airplane,a toy plane made out of colorful plastic,"No, I don't recognize this object",a rainbow jet,A flying saucer.,a rainbow colored flying plane is shown,No,a bird nest,a toy dog with the shape of an airplane,a toy airplane shaped like a rainbow is on a white background,"Yes, it is a toy airplane",a rainbow airplane,A toy airplane,a toy airplane shaped like a rainbow is on a white background,"Yes, I recognize this object.",a toy airplane,It's a toy airplane.,a toy airplane shaped like a rainbow is on a white background,Unknown,a dog bone shaped like an airplane,I think it's a toy airplane.
2057,spout for watering can,34,32,35,3,a red fan with a black handle on a white background,"Yes, I recognize this object.",a red fan,A red plastic fan with a black handle,a red fan with a black handle on a white background,"Yes, I recognize this object.",a red fan,A red plastic fan with a black handle,a red fan with a black handle,No,a red and black plastic fan,"It's a plastic, red, fan shaped device with a black handle.",a red plastic fan on a white background,"The answer is yes.We’ve seen the top five in a row, but what",it's a red and black dog paddle,A toy,a red fan with a black handle on a white background,"Yes, I recognize this object.",a red fan,A red plastic fan with a black handle,a red fan with a black handle on a white background,"Yes, I recognize this object.",the object in this image is a red fan,This is a red plastic fan with a black handle on a white background,a red fan with a black handle on a white background,Unknown,the object in this image is a red fan,This is a red plastic fan with a black handle
2058,hole for children golf game,22,33,58,3,a pink plastic toilet seat cover,"Yes, it is a pink plastic toilet seat",a pink plastic toilet seat,A pink plastic toilet seat cover,a pink plastic toilet seat cover,"Yes, it is a pink plastic toilet seat",a pink plastic toilet seat,A pink plastic toilet seat cover,a pink plastic toilet seat cover,pink plastic toilet seat cover,a toilet seat,A pink plastic ring with a hole in the middle,a pink plastic dog food dish with hole in the center,yes,pink ernie ernie ernie ernie ernie ernie,It's a fucking dog water bowl.,a pink plastic toilet seat cover,"Yes, it is a pink plastic toilet seat",a pink plastic toilet seat,A pink plastic toilet seat cover,a pink plastic toilet seat cover on a white background,"Yes, I recognize this object.",the object in this image is a pink plastic toilet seat,This is a pink plastic toilet seat cover with a hole in the middle,a pink plastic toilet seat cover on a white background,Unknown,the object in this image is a pink plastic toilet seat,This is a pink plastic toilet seat cover with a hole in the middle
2059,maraca pen,75,92,28,0,a purple spoon with a handle on a white background,"Yes, it is a spoon",a spoon,A purple spoon with a black handle,a purple spoon with a handle on a white background,"Yes, it is a spoon",a spoon,A purple spoon with a black handle,a purple plastic spoon with a handle,Yes,a spoon,A sex toy.,a purple spork and spoon that is in an office setting,"Yes or no - Yes, it is the answer","an object for your butt, it's purple","A vacuum, with a dildo, attached to it",a purple spoon with a handle on a white background,"Yes, it is a spoon",a spoon,A purple spoon with a black handle,a purple spoon with a black handle on a white background,"Yes, I recognize this object.",a purple spoon with a black handle on a white background,This is a purple egg shaped vibrator with a black handle,a purple spoon with a black handle on a white background,Unknown,the object in this image is a purple spoon,This is a purple egg shaped vibrator with a black handle
2060,dog toy with removed rope,38,32,55,29,a red plastic toy with four balls inside,"Yes, it is a red jelly bean",a red jelly bean,A red jelly bean,a red plastic toy with four balls inside,"Yes, it is a red jelly bean",a red jelly bean,A red jelly bean,a red plastic toy with four small balls,"Yes, it's a red ball",a jellyfish,It's a dog toy,giant inflatable sex toy - red,"Yes! I recognize this object, its a human shape with 6 parts",the jelly bean,This is a red jelly-style toy with a white background,a red plastic toy with four balls inside,"Yes, it is a red jelly bean",a red jelly bean,A red jelly bean,a close up of a red plastic toy that is shaped like a flower,"Yes, I recognize this object.",a red ball with a bunch of small balls inside of it,It’s a red jelly bean.,a close up of an object that looks like it is made out of red plastic,Unknown,an object in this image is an object shaped like a flower,It’s a toy for your dog.
2061,dog toy,53,53,59,13,a green donut with colorful dots on it,Yes,a donut,A donut,a green donut toy with colorful dots on it,Yes,a donut,A donut,a green dog toy with colorful dots on it,A green donut with multicolored dots,a donut,A donut shaped like a virus,the dog treat ring in this image is green and has colorful spots,dog toy,a donut,An Eau de Puppy dog toy,a green donut with colorful dots on it,Yes,a donut,A donut,a green dog toy with colorful dots on it,"Yes, I recognize this object.",a donut,It's a donut shaped like a virus.,a green dog toy with colorful dots on it,"No, I do not recognize this object.",a donut,It's a donut.
2062,dog toy,44,56,29,42,an orange plastic ring with spikes on it,"Yes, it is a rubber ball with spikes",a rubber ring,A rubber dog toy,an orange plastic ring with spikes on it,"Yes, it is a rubber ball with spikes",a rubber ring,A rubber dog toy,a rubber ring with spikes on it,"No, this is not a toy",an orange plastic ring,A rubber dog toy with a spiral shape,"a rubber ring with small, orange spikes",Yes. It's a rubber ring with an orange tip.,a rubber dog toy,It's the dog chew toy of the future,an orange plastic ring with spikes on it,"Yes, it is a rubber ball with spikes",a rubber ring,A rubber dog toy,an orange rubber ring on a white background,Unknown,an orange rubber ring with spikes on it,This is an orange rubber ring with spikes on it,an orange rubber ring on a white background,Unknown,an orange rubber ring with spikes on it,This is an orange rubber ring with spikes on it
2063,magic loops,25,38,13,19,a metal sculpture with colorful beads on it,"Yes, it is a planet",a planet,A planet.,a metal sculpture with colorful beads on it,Yes,a planet,A planet.,a metal and wire sculpture with several colorful beads,"Yes, it is a ball with a wire and many beads",the planet,A ball,an ornamental hanging object with multicolored beads,a large metal sphere,an object,"It's a ring of multicolor beads, which is part of the necklace.",a metal sculpture with colorful beads on it,"Yes, it is a planet",a planet,A planet.,a metal sculpture of a globe with multi colored beads on it,"No, I do not recognize this object.",a solar system.,I think it's a planet.,a metal sculpture with multi colored beads on it,"No, I do not recognize this object",the solar system.,I don't know.  I don't know.  I don't know.  I don
2064,massager,28,33,45,3,a green and silver object with legs,"Yes, it is a foot massager",a foot massager,A foot massager,a green and silver object with legs,"Yes, it is a foot massager",a foot massager,A foot massager,an image of a green and silver object,Yes,a foot massager,A foot massager.,a green object that has legs and an oval foot,Yes,a green foot pedal with four legs,A sex toy,a green and silver object with legs,"Yes, it is a foot massager",a foot massager,A foot massager,a green foot massager on a white surface,"Yes, I recognize this object.",a foot massager,It's a foot massager.,a green foot massager on a white surface,Unknown,a foot massager.,"It’s a foot massager, but it’s not a foot massager."
